Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
5,19:58:07,32.70297,-117.234631,19:58:11.31,0.3125,32.703152333,-117.233482333,0.0001754329999954507,0.0011486669999953847,678.79,434.0,45.256,14.872,701.0,449.0,3.413440001622803e-05,3.253119998589682e-05,-1.9335291527095857e-05,-2.2383982080005008e-05,6.041900108631011e-06,2.2245720671002204e-06,1.7265826898627724e-05,1.9209452905614883e-05
10,19:58:07,32.70297,-117.234631,19:58:11.62,0.625,32.703163,-117.233472167,0.00018610000000052196,0.0011588329999909774,675.59,434.0,45.513,14.744,698.0,449.0,2.8092121414010574e-05,2.5536205585895253e-05,-1.7447197743148666e-05,-2.168880330903619e-05,1.1437471014452175e-05,8.227526100104871e-06,1.319724735470542e-05,1.701714794711369e-05
25,19:58:12,32.70297,-117.234631,19:58:12.33,1.3078703703703698,32.703173167,-117.233465167,0.00019626699999975017,0.001165832999987515,665.97,434.0,46.282,14.359,689.0,448.0,1.8995357206656456e-05,1.1762908959715452e-05,-1.585626391474381e-06,-7.112872210632453e-06,1.4378353063342858e-05,1.657667867178244e-05,-1.706386196686631e-05,-1.0982731773400841e-05
34,19:58:12,32.70297,-117.234631,19:58:12.67,1.6412037037037026,32.703180167,-117.233461,0.00020326699999628772,0.001169999999987681,660.21,434.0,46.744,14.128,684.0,448.0,2.037635868892475e-05,1.1516453806535091e-05,1.7672491531900298e-06,-2.3631901283967645e-06,5.213163617718385e-06,9.13934165562543e-06,-2.1132487694525603e-05,-1.9102083862140967e-05
57,19:58:12,32.70297,-117.234631,19:58:13.52,2.4930555555555562,32.703196167,-117.233453333,0.00021926699999852417,0.001177666999993221,645.46,434.0,47.923,13.538,669.0,448.0,1.6709881423032007e-05,5.9683731217499356e-06,-4.3402614095330555e-06,-5.701420605630271e-06,1.0635533586040949e-06,-1.4493767727399956e-07,9.225590368060186e-06,-1.1933765407632563e-05
79,19:58:12,32.70297,-117.234631,19:58:14.33,3.3078703703703747,32.703208167,-117.233450833,0.0002312669999966488,0.001180166999986909,631.23,434.0,48.983,12.95,656.0,447.0,1.3145208218216374e-05,1.9552786176941193e-06,2.9432265138080516e-06,-2.878220650091611e-06,1.9567635102414037e-05,-1.0675279762932801e-05,-2.2017079116411115e-05,1.5997897077809612e-05
88,19:58:12,32.70297,-117.234631,19:58:14.67,3.6412037037037095,32.703212333,-117.233450333,0.00023543300000028466,0.0011806669999998576,624.33,434.0,48.833,12.5,649.0,446.0,1.5124200002780626e-05,1.2750000234262654e-06,1.0915154595402089e-05,-8.364844883918124e-06,6.129522277938645e-06,-1.3988066679732317e-06,2.1897550365348656e-05,4.739000250087565e-05
103,19:58:12,32.70297,-117.234631,19:58:15.22,4.1967592592592675,32.703223167,-117.233449833,0.00024626699999430457,0.0011811669999985952,612.83,434.0,48.583,11.75,637.0,446.0,2.5797600001809017e-05,-9.227700005708453e-06,-2.1483163305981298e-06,4.803471813047024e-06,7.589842881310919e-05,4.304062362510332e-05,0.000122068850425845,-0.00018842938931500693
108,19:58:12,32.70297,-117.234631,19:58:15.41,4.3819444444444535,32.703228333,-117.233452167,0.0002514329999954157,0.0011788329999973257,609.0,434.0,48.5,11.5,633.0,446.0,2.4081218191892738e-05,-6.874690912830016e-06,1.804353323231783e-05,1.396763998871843e-05,9.828678498224964e-05,-8.422865991413272e-06,-0.00018244980778685276,-0.00029094642425591267
114,19:58:12,32.70297,-117.234631,19:58:15.63,4.604166666666677,32.703232667,-117.233452167,0.0002557669999987411,0.0011788329999973257,604.4,434.0,48.4,11.2,629.0,445.0,3.5374090911749825e-05,-3.4344000120903675e-06,3.701858696415223e-05,-3.346607780050458e-06,-2.315013170821883e-05,-7.655591502429845e-05,-0.00046020256723236096,-5.486277993971869e-05
