Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
58,19:55:52,32.70297,-117.234631,19:55:56.48,0.483333333333334,32.703010167,-117.233155333,3.326699999917082e-05,0.0014756669999940186,839.33,432.33,28.333,10.333,853.0,443.0,-2.0940139602308323e-05,2.9483145649661672e-05,7.786425553825378e-07,-1.8963651204019227e-06,-3.08065676491519e-07,7.306103530012339e-08,-5.461469878493593e-08,6.224064311114852e-08
159,19:55:57,32.70297,-117.234631,19:55:58.44,2.4731481481481477,32.7029685,-117.233096667,-8.400000005792663e-06,0.0015343329999950583,886.0,432.0,26.0,8.0,899.0,440.0,-1.9390785110162886e-05,2.570973023878785e-05,1.6564890836376562e-07,-1.7509871899760291e-06,-4.167388132404331e-07,1.969083890462883e-07,-1.9310465223060275e-08,1.3275280736473068e-07
213,19:55:57,32.70297,-117.234631,19:56:00.44,4.473148148148156,32.702932833,-117.233052833,-4.406700000458841e-05,0.0015781669999910264,913.0,430.8,27.8,9.2,927.0,440.0,-2.029174999940144e-05,2.250000000003627e-05,-8.862875132568494e-07,-1.1082078394388545e-06,-3.8438985583764535e-07,6.041601878499609e-07,3.2531492846917295e-07,7.266022620557915e-08
263,19:56:02,32.70297,-117.234631,19:56:02.44,6.473148148148165,32.702887333,-117.233006667,-8.956700000339879e-05,0.0016243329999952039,939.4,429.8,27.0,10.0,953.0,440.0,-2.29359351631903e-05,2.127689888103241e-05,-1.3719105149868224e-06,6.656535614238255e-07,8.845209006362646e-07,4.87549293868606e-07,1.609277698060033e-06,-3.8228495521352905e-07
340,19:56:02,32.70297,-117.234631,19:56:05.3,9.324999999999998,32.702821167,-117.232953333,-0.00015573299999971368,0.0016776669999956084,980.0,427.92,17.385,10.0,989.0,438.0,-2.705100680010388e-05,2.8369032448500794e-05,5.7349425119997035e-06,4.3197564948642257e-07,9.43808619745692e-06,-1.9201429887315977e-06,-3.8438123902658614e-07,-5.246494032199726e-06
349,19:56:02,32.70297,-117.234631,19:56:05.63,9.658333333333324,32.702812,-117.2329435,-0.00016490000000146665,0.0016874999999885176,983.0,427.46,16.692,10.0,991.0,437.0,-2.4859701255479643e-05,2.8432964212935733e-05,9.151597457409314e-06,-2.796903503325231e-07,9.178127298712816e-06,-3.840490110593296e-06,-5.88480929700191e-06,-5.358854236920604e-06
365,19:56:02,32.70297,-117.234631,19:56:06.27,10.309848484848466,32.702799167,-117.232926333,-0.00017773300000101244,0.0017046669999984942,985.81,427.0,17.361,10.0,994.0,437.0,-1.5614836904633922e-05,2.7650344359974287e-05,1.3766391409003482e-05,-4.953628751236383e-06,-1.156617862297228e-06,-6.819713324936249e-06,-1.4745857307840524e-05,4.1436991234378586e-06
372,19:56:02,32.70297,-117.234631,19:56:06.59,10.62803030303028,32.702794833,-117.232917333,-0.00018206700000433784,0.0017136669999899823,985.61,427.0,18.722,10.0,995.0,437.0,-1.130041411661252e-05,2.549110038410564e-05,1.2117986437823466e-05,-7.0684919973645366e-06,-5.674944663666934e-06,-4.146803065349697e-06,-9.516992240135455e-06,7.863123053851606e-06
389,19:56:07,32.70297,-117.234631,19:56:07.3,11.324999999999967,32.7027905,-117.232903833,-0.0001864000000040278,0.0017271669999985306,985.14,427.0,22.028,10.0,996.0,437.0,-5.055471859178153e-06,2.013359463410528e-05,7.408162900864402e-06,-6.142086668370082e-06,-5.157777206577453e-06,5.13029789682199e-07,1.1499874800573445e-06,1.0384691423595017e-05
398,19:56:07,32.70297,-117.234631,19:56:07.63,11.658333333333294,32.702789,-117.232897,-0.00018790000000024065,0.001733999999999014,984.03,426.95,23.23,10.0,996.0,437.0,-2.8334999946367628e-06,1.8332499998052862e-05,5.9439437252958085e-06,-6.101189276368514e-06,-4.709410210684988e-06,4.564264425393963e-06,9.020958625207221e-06,2.8679914850736204e-05
416,19:56:07,32.70297,-117.234631,19:56:08.3,12.324999999999948,32.702789333,-117.232887667,-0.00018756700000466253,0.0017433329999931857,979.69,426.75,24.264,10.0,992.0,437.0,1.6649999778906022e-07,1.3334499989525739e-05,2.382000006200394e-06,2.863750006412962e-06,1.1539039056159237e-05,4.57191555840182e-05,1.8878017112038164e-06,-4.224063094225684e-05
425,19:56:07,32.70297,-117.234631,19:56:08.63,12.658333333333275,32.702789333,-117.232883333,-0.00018756700000466253,0.0017476669999894057,977.52,426.64,24.782,10.0,990.0,437.0,6.075000027827782e-07,1.6015874994863974e-05,9.042005464053754e-06,2.3482092977726246e-05,8.42082759505007e-06,1.4310117323234134e-05,-4.930494769767847e-05,-0.00017712609267025808
441,19:56:07,32.70297,-117.234631,19:56:09.22,13.250925925925856,32.702790333,-117.232870667,-0.00018656700000008186,0.0017603329999928974,973.66,426.46,25.701,10.0,987.0,436.0,1.4097681820833216e-05,4.6195056834331255e-05,1.8545439265582058e-06,-1.8126304029167018e-05,-6.288449206313579e-05,-0.0001779873957789045,1.1187314721721137e-05,0.00010183358151449575
447,19:56:07,32.70297,-117.234631,19:56:09.44,13.473148148148073,32.7027945,-117.232858333,-0.00018239999999991596,0.001772666999997341,972.21,426.39,26.046,10.0,985.0,436.0,1.2767291202451538e-05,3.641251649035525e-05,-1.634942520291149e-05,-6.66601607991813e-05,-4.943883532123314e-05,-0.00011982974142504315,0.00012179831734027636,0.0003937513613554965
454,19:56:07,32.70297,-117.234631,19:56:09.7,13.732407407407328,32.702796,-117.232854667,-0.0001809000000037031,0.0017763329999951338,970.52,426.31,26.448,10.0,984.0,436.0,5.394164275835756e-06,1.228273570715358e-05,-1.9342998173183464e-05,-6.791195741578972e-05,6.777052119483244e-07,2.2192549305346076e-05,0.0001496694439273056,0.0004176698031308802
474,19:56:07,32.70297,-117.234631,19:56:10.44,14.473148148148054,32.702799167,-117.2328495,-0.00017773300000101244,0.001781499999992775,965.69,426.08,27.598,10.0,979.0,436.0,1.031724644727821e-05,1.522637397389419e-05,7.03063280195027e-06,5.7140742044502176e-06,1.9190071263984823e-05,5.61692053495582e-05,4.55026855110735e-06,7.946681003604296e-07
