Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
341,19:44:25,32.70297,-117.234631,19:44:26.46,12.488095238095207,32.7043875,-117.227862,0.0014105999999998176,0.006768999999991365,643.43,420.43,3.0,2.0,645.0,422.0,-2.1522099565921847e-05,-7.643334199249593e-05,3.3888926089315326e-07,-1.7692358195500153e-08,2.566480549961857e-07,-6.714754703559669e-07,-7.327627961387507e-08,7.896411209695353e-07
574,19:44:35,32.70297,-117.234631,19:44:37.46,23.488095238095347,32.704158833,-117.228879333,0.0011819329999980255,0.005751666999998406,649.96,421.08,4.0,2.0,652.0,423.0,-2.3843860372993226e-05,-9.332329254052303e-05,-1.5262879126997467e-07,-8.244680670305612e-07,-5.659504838785586e-09,4.3024067624744814e-08,-1.3387620195840359e-08,3.617856175899619e-08
900,19:44:50,32.70297,-117.234631,19:44:52.46,38.48809523809526,32.703738667,-117.230296333,0.0007617670000001908,0.004334666999994852,679.45,423.0,4.4312,2.4312,682.0,425.0,-2.4937920975944794e-05,-9.114750026163949e-05,5.60695886236719e-07,2.201133458573028e-06,7.450497828257045e-09,-2.89631336337982e-09,-4.769152694028269e-09,-2.690016286146563e-08
1251,19:45:05,32.70297,-117.234631,19:45:07.29,53.32142857142802,32.703413833,-117.231599667,0.0004369329999960314,0.003031332999995584,717.91,424.52,8.2586,5.0,722.0,430.0,-7.3264707919288696e-06,-2.8337697016350694e-05,8.293828660699043e-08,-8.430526163880178e-07,-1.4606862620310598e-07,-7.515953356328698e-07,3.6765332380028252e-09,2.5909091379566564e-08
1259,19:45:05,32.70297,-117.234631,19:45:07.62,53.65476190476134,32.7034115,-117.231608667,0.0004345999999983974,0.003022332999989885,719.22,424.66,8.3276,5.0,723.0,430.0,-7.307096984706642e-06,-2.8656747674056776e-05,3.339585878123902e-08,-1.0976770489256072e-06,-1.447380504263539e-07,-7.423868131672581e-07,4.763496674618991e-09,3.301826159644791e-08
1523,19:45:20,32.70297,-117.234631,19:45:20.46,66.48809523809442,32.7031655,-117.232795,0.00018859999999421007,0.0018359999999972842,764.71,430.48,14.669,7.8898,772.0,438.0,-1.9095005325999034e-05,-0.00011217470100706689,9.752944154628785e-08,-8.86062809813548e-09,2.977118604583368e-07,2.3457878697781035e-06,1.7767798746965096e-08,4.1254515633927754e-07
1571,19:45:20,32.70297,-117.234631,19:45:22.46,68.48809523809464,32.703127333,-117.2330255,0.00015043299999462079,0.0016054999999965958,775.29,432.52,18.331,9.1102,784.0,442.0,-1.8583250000146417e-05,-0.0001101667500016286,7.841888315824375e-07,5.387425251237962e-06,3.280395147775344e-07,3.224459949124137e-06,1.832924770832079e-07,8.08622003575511e-07
1612,19:45:20,32.70297,-117.234631,19:45:24.4,70.48809523809479,32.703091167,-117.233235667,0.00011426699999361745,0.0013953329999907282,784.93,434.16,21.161,10.107,796.0,444.0,-1.5958249999669084e-05,-9.062500000211381e-05,1.4096875006565494e-06,1.2888979168399514e-05,1.0308817687912074e-06,5.580275884080383e-06,-3.0105658452424147e-07,-1.8115449012468117e-06
1653,19:45:25,32.70297,-117.234631,19:45:26.46,72.48809523809493,32.7030635,-117.233388,8.659999999593992e-05,0.0012429999999881147,798.11,435.26,22.259,10.839,809.0,446.0,-1.2944499997519818e-05,-5.861083332802687e-05,4.90771590674756e-06,2.770852878756108e-05,-8.761868233195171e-07,-4.0217196558636244e-06,-3.7155792712007654e-06,-1.5049993167391155e-05
1677,19:45:25,32.70297,-117.234631,19:45:27.46,73.48809523809504,32.703051,-117.233437833,7.409999999907768e-05,0.0011931669999967198,805.82,435.9,22.902,11.268,817.0,447.0,-6.336363637934917e-06,-2.5051581815202354e-05,2.7189285702452893e-06,1.7971061898974164e-05,-5.9727885820936565e-06,-2.419621052196704e-05,1.1547163655972951e-06,2.816000466579372e-06
