Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
21,19:51:12,32.70297,-117.234631,19:51:16.48,0.4772727272727271,32.702576833,-117.231935833,-0.00040006700000105866,0.0026951669999988326,1029.3,423.0,10.785,6.1077,1035.0,429.0,-7.800000005886438e-06,-2.620080001065619e-05,5.400000008291363e-06,-6.254742830182254e-06,-1.0376552829151336e-06,-9.607744773685862e-07,-3.345023296079516e-06,-8.816986726728357e-07
52,19:51:17,32.70297,-117.234631,19:51:17.3,1.3106060606060597,32.702570333,-117.231957667,-0.000406567000005964,0.0026733329999899524,1032.6,423.0,10.467,6.2667,1038.0,429.0,-3.299999998976973e-06,-3.141308570247473e-05,4.535287272528753e-06,-7.055388227989408e-06,-3.825174696314728e-06,-1.6955233712626152e-06,-1.945869971111661e-06,3.099687818267374e-06
61,19:51:17,32.70297,-117.234631,19:51:17.63,1.6439393939393925,32.702569833,-117.231968833,-0.00040706700000470164,0.0026621669999968844,1033.6,423.0,10.374,6.3128,1039.0,429.0,-1.9035326062357381e-06,-3.387163449817881e-05,2.8885597853038996e-06,-7.718529204262815e-06,-4.287244243356233e-06,-1.3144256638146548e-07,6.296029054082564e-08,6.501328509069581e-06
84,19:51:17,32.70297,-117.234631,19:51:18.48,2.495791245791246,32.702567333,-117.2319985,-0.0004095670000054952,0.0026324999999900456,1036.0,423.0,10.138,6.4308,1041.0,429.0,-2.274782607456622e-06,-4.119311826589504e-05,6.578797816646313e-07,-3.785759654924758e-06,-1.0788362392701286e-06,9.345024698346239e-06,2.4823593633462067e-06,4.871183685568457e-06
111,19:51:17,32.70297,-117.234631,19:51:19.48,3.4957912457912506,32.702565833,-117.232047167,-0.00041106700000170804,0.0025838329999885445,1039.0,423.0,9.8615,6.5692,1044.0,430.0,-3.32999999130807e-07,-3.933349999840608e-05,1.3866208922362362e-06,1.1109872484263862e-05,-1.038195419745273e-07,6.875301829569735e-06,2.0344610356437131e-07,-7.642449811177889e-06
138,19:51:17,32.70297,-117.234631,19:51:20.48,4.4957912457912546,32.702566667,-117.232077167,-0.00041023300000375684,0.002553832999993233,1041.9,423.0,9.5846,6.7077,1047.0,430.0,4.984591770158624e-07,-1.897337329736723e-05,4.502406977155766e-07,9.964844004214777e-06,-6.719440321413834e-07,-5.939874924009599e-06,-1.879789593036621e-07,-9.480710982900902e-06
163,19:51:17,32.70297,-117.234631,19:51:21.46,5.477272727272742,32.702566833,-117.232085167,-0.0004100670000042328,0.00254583299999922,1044.6,423.0,9.3282,6.8359,1049.0,430.0,5.731320751465376e-07,-1.9206900579711518e-05,4.54729885711086e-08,-4.839370978431026e-07,-4.902454674405502e-07,-1.2032906639793856e-05,4.578612455654249e-07,-7.207253523690726e-07
216,19:51:22,32.70297,-117.234631,19:51:23.48,7.4957912457912705,32.702569667,-117.232169833,-0.0004072330000042257,0.00246116699999277,1048.9,423.43,9.4345,6.7103,1054.0,430.0,5.378539200149375e-07,-2.1204969715057313e-05,-1.2672358202102362e-06,-3.053033677770027e-05,1.5661563124397696e-06,9.291557131414475e-06,1.3239645996522324e-05,8.924074361490998e-05
235,19:51:22,32.70297,-117.234631,19:51:24.19,8.199494949494973,32.702569833,-117.232179667,-0.00040706700000470164,0.0024513329999962252,1049.7,423.83,9.8276,6.4483,1055.0,430.0,-6.605052612644515e-07,-4.9936381580699754e-05,3.7864079052208995e-07,-1.8060558360449348e-05,1.3881066566437837e-05,9.139209758467594e-05,9.990884648990446e-06,3.807905924434706e-05
240,19:51:22,32.70297,-117.234631,19:51:24.37,8.384680134680154,32.702569667,-117.232190667,-0.0004072330000042257,0.002440332999995576,1049.9,423.93,9.931,6.3793,1055.0,430.0,-4.889454531436035e-07,-5.217136363184528e-05,3.5116935307737826e-06,2.4541520182735666e-06,1.536528248705436e-05,9.461384686867712e-05,-3.0789788889776346e-05,-0.00015106200443596842
