Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
26,20:02:47,32.70297,-117.234631,20:02:51.24,0.2407407407407406,32.703365333,-117.232878167,0.0003884329999976899,0.0017528329999976222,644.02,429.49,30.51,9.0,659.0,438.0,4.430907691462737e-05,-1.383230780377816e-06,-5.607692305794275e-05,1.4321184003878175e-06,2.0612074818671168e-05,-3.5582634116833646e-07,8.961060494320354e-05,-2.8472819997469334e-06
52,20:02:47,32.70297,-117.234631,20:02:51.48,0.48148148148148096,32.703376,-117.2328785,0.0003990999999956557,0.0017524999999949387,632.04,428.98,31.02,9.0,648.0,438.0,3.080907691919673e-05,-1.0384615358400087e-06,-5.111475689789229e-05,1.3464565034398848e-06,4.218499823092384e-05,-1.0412831188851897e-06,8.469476936065922e-05,-3.5608151826780267e-06
78,20:02:47,32.70297,-117.234631,20:02:51.72,0.7222222222222227,32.703380167,-117.232878667,0.0004032669999958216,0.0017523329999988846,620.06,428.47,31.529,9.0,636.0,437.0,1.9698268037864406e-05,-7.349369083512044e-07,-3.576562761342378e-05,9.307598616653165e-07,6.13910378441738e-05,-2.0702929106059087e-06,5.022114904835168e-05,-2.844207445783514e-06
120,20:02:52,32.70297,-117.234631,20:02:52.46,1.4907407407407434,32.703401167,-117.232879333,0.0004242669999996451,0.0017516669999935175,601.0,428.0,32.0,9.0,617.0,437.0,1.7694551718187422e-05,-8.293206603586598e-07,5.607733204381324e-06,-1.5031535338333214e-06,2.747140132102715e-05,-7.474862408488569e-07,-4.9891186724606e-05,2.6199390769774286e-06
142,20:02:52,32.70297,-117.234631,20:02:53.31,2.3368945868945894,32.703407167,-117.23288,0.00043026699999870743,0.0017509999999987258,591.22,428.0,32.0,9.0,607.0,437.0,3.00928924119473e-05,-3.3871893926765498e-06,4.2913951210975465e-06,1.184726784789336e-07,-2.0105565946961785e-05,2.306639723425768e-06,-8.587128578335842e-06,-3.184234757077474e-06
150,20:02:52,32.70297,-117.234631,20:02:53.62,2.644586894586896,32.703419,-117.232881333,0.00044209999999367255,0.001749666999998567,587.67,428.0,32.0,9.0,604.0,437.0,3.0254027768350565e-05,-2.9992500003572786e-06,-3.970445440677212e-06,8.71863629082909e-07,-1.741738773333178e-05,5.667458008318447e-07,1.8477241528397576e-05,-4.833152265223392e-06
168,20:02:52,32.70297,-117.234631,20:02:54.31,3.336894586894586,32.703427167,-117.232881333,0.0004502669999979503,0.001749666999998567,579.67,428.0,32.0,9.0,596.0,437.0,2.0504777785035344e-05,-3.0015000085370502e-06,-1.3339999966888578e-06,-1.6670000064780702e-06,1.0547503499060725e-05,-1.4996338127890123e-06,1.1890995108658672e-05,-1.5248000292148501e-06
176,20:02:52,32.70297,-117.234631,20:02:54.62,3.6445868945868924,32.703434667,-117.232882667,0.0004577670000003309,0.0017483329999947728,576.11,428.0,32.0,9.0,592.0,437.0,2.1837666672100094e-05,-3.7419444542448766e-06,2.8329999892663407e-06,-1.831999995261139e-06,1.0308461081695672e-05,-1.7691489638235887e-06,-6.980681330752808e-06,-4.0383921277646155e-07
194,20:02:52,32.70297,-117.234631,20:02:55.31,4.336894586894583,32.703445833,-117.232884333,0.0004689330000005043,0.0017466669999919304,567.68,428.0,32.0,8.8226,584.0,437.0,2.1464166657184048e-05,-4.115444437186554e-06,4.9315999941833285e-06,-4.9772727206499164e-06,-4.187919674587522e-06,-1.3133667404580797e-06,-1.5806610735155442e-05,9.999032684427273e-06
202,20:02:52,32.70297,-117.234631,20:02:55.62,4.644586894586889,32.703453167,-117.232885833,0.00047626699999625544,0.0017451669999957176,563.81,428.0,32.0,8.6935,580.0,437.0,2.372976665754523e-05,-6.253787871956054e-06,2.655764088457131e-06,-4.939702832381649e-06,-8.349597382798176e-06,3.0406167294867638e-06,-2.741925250891963e-06,7.804908753052028e-06
