Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
6,19:48:52,32.70297,-117.234631,19:48:56.33,0.33333333333333337,32.702680833,-117.233113833,-0.0002960670000007326,0.0015171669999887172,1066.2,426.08,33.0,11.958,1083.0,438.0,2.4500999991516882e-05,1.6998000020862485e-05,-1.5945234459466857e-05,-9.859086561813547e-06,6.986774099656062e-06,7.789527644031906e-06,4.28501503106668e-06,1.4357021782268946e-06
12,19:48:52,32.70297,-117.234631,19:48:56.67,0.6666666666666669,32.702689,-117.233108167,-0.0002879000000035603,0.0015228329999956713,1063.4,426.17,33.0,11.917,1080.0,438.0,1.918592183836126e-05,1.37116378335913e-05,-1.3616309759581502e-05,-7.262577347136244e-06,8.415112443344955e-06,8.268095036774204e-06,2.868240181783138e-06,6.999237070762859e-07
31,19:48:57,32.70297,-117.234631,19:48:57.48,1.4629629629629626,32.702694167,-117.2331035,-0.00028273300000591917,0.0015274999999945749,1054.6,426.43,33.0,11.785,1071.0,438.0,1.277353296611015e-05,1.286771877109631e-05,-4.198311170456235e-06,2.316373315095814e-07,8.004002571302647e-06,7.425797255004214e-06,-1.5438078812553644e-06,-9.39330827222586e-07
58,19:48:57,32.70297,-117.234631,19:48:58.48,2.4629629629629637,32.702714833,-117.233081833,-0.0002620670000013092,0.00154916699999319,1042.0,426.81,33.0,11.597,1058.0,438.0,1.3415701738155207e-05,1.472116782245481e-05,-9.956011439478357e-07,5.163963100947835e-06,5.169807716872812e-06,6.6352031237418476e-06,-4.100866078542716e-07,-4.730049150949704e-06
81,19:48:57,32.70297,-117.234631,19:48:59.33,3.3148148148148193,32.702721,-117.233074333,-0.00025590000000619284,0.0015566669999884652,1031.3,427.13,33.0,11.437,1048.0,439.0,1.1379146736849506e-05,2.1522379095323656e-05,4.835736675504585e-06,1.2051868807765826e-05,6.579532653719145e-06,-2.527697543848974e-07,-5.632028936012443e-06,-1.3298103423185894e-05
90,19:48:57,32.70297,-117.234631,19:48:59.67,3.648148148148154,32.702725333,-117.2330655,-0.0002515670000065029,0.00156549999999811,1027.1,427.25,33.0,11.375,1044.0,439.0,1.3933642677926177e-05,2.607025628701147e-05,6.994224982379428e-06,1.0879972383075178e-05,3.7517214019492428e-06,-5.3653259674158135e-06,-6.846406504565777e-06,-1.1534511475239388e-05
134,19:48:57,32.70297,-117.234631,19:49:01.35,5.335748792270545,32.702756833,-117.233025167,-0.00022006700000076762,0.0016058329999992793,1006.7,427.86,33.0,11.069,1023.0,439.0,2.0018927714682755e-05,2.0818634263139978e-05,-9.94599896280681e-06,-1.397782852175876e-05,6.184462237025444e-06,7.663153454867104e-06,3.5706663613197434e-05,4.00795900604581e-05
141,19:48:57,32.70297,-117.234631,19:49:01.65,5.640096618357503,32.702763,-117.233019,-0.00021390000000565124,0.0016119999999943957,1003.4,427.96,33.0,11.021,1020.0,439.0,1.624806047414812e-05,1.5968111899773295e-05,-7.173363631286146e-06,-1.0416486029617358e-05,1.8932422955434844e-05,2.1637408832499115e-05,1.1742331256864767e-05,1.571229993779377e-05
156,19:49:02,32.70297,-117.234631,19:49:02.26,6.240740740740758,32.702768,-117.2330145,-0.00020890000000406417,0.0016164999999972451,996.7,428.09,32.814,10.907,1013.0,439.0,1.8123204019094793e-05,1.625602851005291e-05,1.584166357508476e-05,1.4357840845330278e-05,-9.747050806614219e-06,-4.727803143253994e-06,-9.819116445007958e-05,-0.00010225920720598064
162,19:49:02,32.70297,-117.234631,19:49:02.48,6.4629629629629815,32.702772833,-117.233010167,-0.0002040670000056366,0.0016208329999898297,994.05,428.14,32.721,10.86,1010.0,439.0,2.2689346153991266e-05,2.0587697777782465e-05,9.72398553460167e-06,9.52740174517797e-06,-3.571456932095626e-05,-3.225056696545182e-05,-6.711730257416263e-05,-7.621725297312406e-05
