Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
10,19:38:54,32.70297,-117.234631,19:38:58.32,0.32258064516129026,32.7031965,-117.233157,0.0002195999999941023,0.0014739999999875408,698.78,430.0,34.444,11.0,716.0,441.0,2.1182300001498807e-05,5.167700020081161e-06,-1.3664525437292196e-06,2.6068283419659474e-07,2.406100098540379e-06,7.806761661344947e-07,-1.3418417761917432e-06,-3.8562458535428814e-07
20,19:38:54,32.70297,-117.234631,19:38:58.65,0.6451612903225803,32.703203333,-117.233155333,0.00022643299999458577,0.0014756669999940186,692.56,430.0,34.889,11.0,710.0,441.0,2.074150885836035e-05,5.251791256918772e-06,-5.902912216194207e-07,5.125138555303025e-07,1.973247912672075e-06,6.562811386008535e-07,-1.932905076700357e-06,-6.044421736559803e-07
63,19:38:59,32.70297,-117.234631,19:39:00.3,2.3155680224403943,32.703234167,-117.233145833,0.00025726699999495395,0.0014851669999984551,667.4,429.8,35.6,11.0,685.0,441.0,2.646912404227048e-05,8.286186277455844e-06,-1.0382502480502814e-06,5.327779524019687e-07,-6.368070150803087e-06,-2.24611191037382e-06,2.085861972924969e-06,-4.405528250157344e-08
70,19:38:59,32.70297,-117.234631,19:39:00.61,2.619915848527352,32.703242667,-117.233143167,0.0002657669999948098,0.0014878329999987727,663.67,429.72,35.444,11.0,681.0,441.0,2.5905423281728627e-05,8.377147617188768e-06,-3.3146107661348873e-06,-2.760457008979542e-07,-5.340672228830501e-06,-2.1656128987063387e-06,3.6955603672440947e-06,5.478271032633578e-07
90,19:38:59,32.70297,-117.234631,19:39:01.48,3.4894810659186604,32.703260167,-117.233136833,0.00028326700000036453,0.0014941669999899432,653.0,429.5,35.0,11.0,670.0,440.0,1.9389734107811236e-05,6.708738500119392e-06,-2.644889611388664e-06,-9.369500014753338e-07,-1.3325468463682436e-06,-9.853151675664295e-07,1.8187937053501912e-06,7.614139668864009e-07
157,19:39:04,32.70297,-117.234631,19:39:04.31,6.312569521690784,32.703308167,-117.233123167,0.00033126699999996845,0.0015078329999909101,617.77,428.77,33.771,11.0,635.0,440.0,5.635776596581545e-05,1.3061411155819436e-05,-2.5678909099352852e-05,-5.783297474406289e-06,-2.1774171205074693e-05,-4.297640576502696e-06,1.220895328467322e-05,2.552827576932517e-06
166,19:39:04,32.70297,-117.234631,19:39:04.62,6.622914349276989,32.703327,-117.233118833,0.00035009999999857655,0.0015121669999871301,613.18,428.68,33.677,11.0,630.0,440.0,4.7065622841038304e-05,1.0992517918168238e-05,-3.2900907240463724e-05,-7.205101256634266e-06,-1.732162561062101e-05,-3.378261343068238e-06,1.6265079421789726e-05,3.3792943235317104e-06
188,19:39:04,32.70297,-117.234631,19:39:05.48,7.489481065918669,32.703334833,-117.2331165,0.00035793299999653527,0.001514499999998975,601.95,428.45,33.448,11.0,619.0,439.0,1.1393584614823884e-05,3.4454093349900352e-06,-3.351590080044027e-05,-7.221447128818458e-06,1.4140849121299074e-06,5.587701877730641e-07,1.7476399749827228e-05,3.6896730042322445e-06
278,19:39:09,32.70297,-117.234631,19:39:09.32,11.324884792626706,32.7034185,-117.2330905,0.00044159999999493493,0.0015404999999901747,557.67,427.67,32.333,10.667,574.0,438.0,1.2689598314035442e-05,1.0035652957367247e-06,7.959623504480647e-06,4.727216506815068e-06,-1.9067036152317914e-06,2.2029484958588812e-07,-5.372920304143582e-06,-3.7249206148724805e-06
287,19:39:09,32.70297,-117.234631,19:39:09.64,11.646313364055285,32.703422333,-117.233090333,0.00044543299999588726,0.0015406669999862288,553.39,427.6,32.206,10.603,569.0,438.0,1.5453358962422845e-05,2.667517332874381e-06,7.004093805438792e-06,4.7200396414924936e-06,-3.755123754998371e-06,-1.0749640017465893e-06,-2.781545907185828e-06,-3.0387833382022943e-06
