Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
15,20:05:07,32.70297,-117.234631,20:05:11.19,0.19480519480519484,32.7030425,-117.234458333,6.559999999922184e-05,0.00017266699998685908,535.75,537.5,245.5,118.25,658.0,656.0,1.2031250003818881e-05,1.4437500031938552e-05,2.1118077909333692e-05,2.1516532215065284e-05,-5.741302315008346e-05,-4.355709642432088e-05,-0.00014542735264337067,-0.0001761754484303588
31,20:05:07,32.70297,-117.234631,20:05:11.4,0.4025974025974027,32.703045,-117.234455333,6.810000000001537e-05,0.00017566699999349566,512.02,530.57,219.37,109.98,622.0,641.0,1.641942203692718e-05,1.890846776493913e-05,9.18809907295271e-06,1.2465706984037567e-05,-8.763169382922543e-05,-8.01649818124474e-05,-3.341177782934115e-05,-8.28786420865437e-05
46,20:05:07,32.70297,-117.234631,20:05:11.6,0.5974025974025975,32.703049,-117.234450833,7.209999999702177e-05,0.0001801669999963451,489.77,524.07,194.87,102.23,587.0,626.0,1.6030540981182805e-05,1.9683901205838302e-05,-1.340184201618774e-05,-9.836541268653859e-06,-7.368309183724916e-05,-7.927138820320396e-05,0.00017376891296063616,0.00012974687165395371
62,20:05:07,32.70297,-117.234631,20:05:11.81,0.8051948051948054,32.703051333,-117.2344475,7.44329999946558e-05,0.0001834999999914544,467.84,516.86,169.88,94.284,553.0,611.0,1.0717751299820397e-05,1.457745323898178e-05,-1.9341771858611822e-05,-1.8503624135885266e-05,-1.4930660670651893e-05,-2.4569962062943665e-05,0.00023031212898728547,0.00022157383455228308
89,20:05:12,32.70297,-117.234631,20:05:12.46,1.4870129870129882,32.7030575,-117.234440833,8.059999999687761e-05,0.00019016699999951925,452.17,501.53,141.21,84.617,523.0,586.0,1.1459149550536776e-05,1.5543834239746806e-05,1.0279785665432494e-06,3.0908469306898227e-06,2.479427819412652e-05,3.326315449591667e-05,1.466914250822997e-05,1.7422421511780687e-05
115,20:05:12,32.70297,-117.234631,20:05:13.46,2.487012987012988,32.7030725,-117.234416833,9.559999999453339e-05,0.0002141669999957685,437.09,486.77,113.6,75.309,494.0,562.0,1.2399999999802448e-05,2.108913042713604e-05,1.8369601641944062e-05,3.868785470407391e-05,-2.4474594332473728e-05,-4.8166998728305656e-05,-8.975386595687152e-05,-0.00016963508721812596
135,20:05:12,32.70297,-117.234631,20:05:14.23,3.2562437562437543,32.7030805,-117.234402333,0.00010359999999565161,0.00022866699998758122,425.48,475.41,92.37,68.148,472.0,544.0,3.684333332950983e-05,7.046000003185814e-05,-2.5200333293020437e-05,-4.792818366781149e-05,-0.00011747164709827462,-0.00023084779599307842,6.193750660504971e-05,0.00012157562039858273
141,20:05:12,32.70297,-117.234631,20:05:14.46,3.4870129870129842,32.703090833,-117.2343825,0.00011393299999440387,0.0002484999999978754,422.0,472.0,86.0,66.0,465.0,538.0,2.7083333341930052e-05,5.163816666708975e-05,-5.652053327835589e-05,-0.00010938707901226506,-9.052066036783768e-05,-0.00017793383811967416,0.00016243122066891792,0.00031808307926003466
147,20:05:12,32.70297,-117.234631,20:05:14.69,3.717782217782214,32.703093,-117.2343785,0.00011609999999961929,0.0002524999999877764,419.13,469.65,82.783,63.217,461.0,533.0,1.0756933354884124e-05,1.9973655872351367e-05,-6.697909961663768e-05,-0.00013005149356919927,-4.2503391404928165e-05,-8.404022094998602e-05,0.0001989360249562915,0.0003890081513411074
266,20:05:17,32.70297,-117.234631,20:05:19.46,8.487012987012967,32.703279,-117.234023,0.00030209999999897263,0.0006079999999997199,363.33,432.45,31.247,23.247,379.0,456.0,6.27701452139652e-05,0.00010558370871896109,7.973677913602972e-06,1.1793403471728396e-05,5.510088142430719e-06,1.0461595377495989e-05,2.5953500960917857e-06,5.21527397243148e-06
337,20:05:22,32.70297,-117.234631,20:05:22.46,11.487012987012955,32.703512167,-117.233647667,0.0005352669999965087,0.0009833329999935359,326.07,424.78,20.778,12.852,336.0,438.0,8.11576108870356e-05,0.00012934489166386106,5.2445783350928725e-06,6.794819278801271e-06,-8.042343045913125e-07,-1.4434841719323593e-06,-1.7256548197772353e-06,-3.2525103201652603e-06
685,20:05:32,32.70297,-117.234631,20:05:36.42,25.46069719753964,32.704869833,-117.231564667,0.0018929329999934907,0.0030663329999924827,283.1,413.0,7.3488,5.3488,287.0,418.0,9.686839589690476e-05,0.00015103217870234443,8.709989109074341e-07,1.1198010596580292e-06,-2.418898150573243e-07,-2.9985778524436223e-07,3.0459428228210514e-08,6.230363191094108e-08
1637,20:06:12,32.70297,-117.234631,20:06:14.46,63.487012987014694,32.708523333,-117.225618,0.00554643299999924,0.009012999999995941,280.09,409.11,4.8859,2.8859,283.0,412.0,0.00010377633641241656,0.0001488890656233294,-9.70038666362981e-07,7.135469745699748e-07,-9.604790669484544e-08,4.754241118473264e-08,6.1900665722927285e-09,-1.1212212114099411e-09
1832,20:06:22,32.70297,-117.234631,20:06:22.46,71.48701298701391,32.7093665,-117.2244395,0.006389599999998552,0.010191499999990583,274.96,410.0,4.0,2.0,277.0,412.0,9.407766287918831e-05,0.00015589322727409174,-1.8185905323100452e-06,1.1918830890902593e-06,-4.25641774364947e-08,2.1309640819052578e-08,1.020864933108785e-08,-5.564278509419567e-09
1910,20:06:22,32.70297,-117.234631,20:06:25.46,74.48701298701349,32.709636,-117.223962167,0.006659100000000251,0.01066883299999688,279.73,410.0,4.0,2.0,282.0,412.0,8.793985289902063e-05,0.00015982478478444994,-1.8748401580867633e-06,1.2125193413644285e-06,-7.974648372718724e-09,2.0459753003738337e-09,1.0242714035001136e-08,-5.6787578664548265e-09
2415,20:06:42,32.70297,-117.234631,20:06:45.46,94.48701298701137,32.711142333,-117.2206705,0.008165432999994948,0.013960499999996046,309.9,410.0,4.0,2.0,312.0,412.0,7.325591666654436e-05,0.00017100852777771641,-5.976362073825694e-07,6.090687863474769e-07,2.5262434159405887e-08,-1.2533985614628435e-08,-7.51329011212377e-10,-1.5599559905679087e-09
3048,20:07:07,32.70297,-117.234631,20:07:10.46,119.48701298700863,32.712909333,-117.2161945,0.00993243299999591,0.01843649999999286,344.2,412.0,3.6,2.0,346.0,414.0,6.258253036452258e-05,0.00018779404858277943,-1.1722554588914346e-06,8.46923587738686e-07,-6.89327641777299e-08,-7.750032115437261e-08,5.607691044012602e-09,-6.721218564751791e-09
3379,20:07:22,32.70297,-117.234631,20:07:23.46,132.48701298700865,32.713668167,-117.213694,0.010691266999998561,0.020936999999989325,365.69,412.0,4.0,2.0,368.0,414.0,4.230484615289423e-05,0.00019999045385080648,-2.3789898334354006e-06,-7.487986965679761e-07,6.734559248233082e-08,-1.927447028639226e-07,1.8924743438873098e-08,8.256145020519745e-09
3431,20:07:22,32.70297,-117.234631,20:07:25.46,134.4870129870091,32.713747833,-117.213291667,0.010770932999996319,0.021339333000000238,370.28,412.19,4.193,2.0,372.0,414.0,3.729481480263687e-05,0.0001979737845446898,-2.195015167362656e-06,-1.1558255899390982e-06,1.0779255410672089e-07,-1.709643828352721e-07,1.7133097508386548e-08,1.2240695543103028e-08
3577,20:07:27,32.70297,-117.234631,20:07:31.42,140.4606971975367,32.713925333,-117.212166,0.010948432999995816,0.02246499999999685,386.13,413.0,4.7333,2.0,388.0,415.0,2.971365638757479e-05,0.00018843764757648526,-1.269092598115851e-06,-1.596357730359892e-06,1.550002538826923e-07,-7.374546844046971e-08,7.902610535182972e-09,1.6274531925117663e-08
