Frame No.,UTC Timestamp,Lat,Long
0,19:25:43,32.702970,-117.234631
1,19:25:43,32.702970,-117.234631
2,19:25:48,32.702970,-117.234631
3,19:25:48,32.702970,-117.234631
4,19:25:48,32.702970,-117.234631
5,19:25:48,32.702970,-117.234631
6,19:25:48,32.702970,-117.234631
7,19:25:48,32.702970,-117.234631
8,19:25:48,32.702970,-117.234631
9,19:25:48,32.702970,-117.234631
10,19:25:48,32.702970,-117.234631
11,19:25:48,32.702970,-117.234631
12,19:25:48,32.702970,-117.234631
13,19:25:48,32.702970,-117.234631
14,19:25:48,32.702970,-117.234631
15,19:25:48,32.702970,-117.234631
16,19:25:48,32.702970,-117.234631
17,19:25:48,32.702970,-117.234631
18,19:25:48,32.702970,-117.234631
19,19:25:48,32.702970,-117.234631
20,19:25:48,32.702970,-117.234631
21,19:25:48,32.702970,-117.234631
22,19:25:48,32.702970,-117.234631
23,19:25:48,32.702970,-117.234631
24,19:25:48,32.702970,-117.234631
25,19:25:48,32.702970,-117.234631
26,19:25:48,32.702970,-117.234631
27,19:25:48,32.702970,-117.234631
28,19:25:48,32.702970,-117.234631
29,19:25:48,32.702970,-117.234631
30,19:25:48,32.702970,-117.234631
31,19:25:48,32.702970,-117.234631
32,19:25:48,32.702970,-117.234631
33,19:25:48,32.702970,-117.234631
34,19:25:48,32.702970,-117.234631
35,19:25:48,32.702970,-117.234631
36,19:25:48,32.702970,-117.234631
37,19:25:48,32.702970,-117.234631
38,19:25:48,32.702970,-117.234631
39,19:25:48,32.702970,-117.234631
40,19:25:48,32.702970,-117.234631
41,19:25:48,32.702970,-117.234631
42,19:25:48,32.702970,-117.234631
43,19:25:48,32.702970,-117.234631
44,19:25:48,32.702970,-117.234631
45,19:25:48,32.702970,-117.234631
46,19:25:48,32.702970,-117.234631
47,19:25:48,32.702970,-117.234631
48,19:25:48,32.702970,-117.234631
49,19:25:48,32.702970,-117.234631
50,19:25:48,32.702970,-117.234631
51,19:25:48,32.702970,-117.234631
52,19:25:48,32.702970,-117.234631
53,19:25:48,32.702970,-117.234631
54,19:25:48,32.702970,-117.234631
55,19:25:48,32.702970,-117.234631
56,19:25:48,32.702970,-117.234631
57,19:25:48,32.702970,-117.234631
58,19:25:48,32.702970,-117.234631
59,19:25:48,32.702970,-117.234631
60,19:25:48,32.702970,-117.234631
61,19:25:48,32.702970,-117.234631
62,19:25:48,32.702970,-117.234631
63,19:25:48,32.702970,-117.234631
64,19:25:48,32.702970,-117.234631
65,19:25:48,32.702970,-117.234631
66,19:25:48,32.702970,-117.234631
67,19:25:48,32.702970,-117.234631
68,19:25:48,32.702970,-117.234631
69,19:25:48,32.702970,-117.234631
70,19:25:48,32.702970,-117.234631
71,19:25:48,32.702970,-117.234631
72,19:25:48,32.702970,-117.234631
73,19:25:48,32.702970,-117.234631
74,19:25:48,32.702970,-117.234631
75,19:25:48,32.702970,-117.234631
76,19:25:48,32.702970,-117.234631
77,19:25:48,32.702970,-117.234631
78,19:25:48,32.702970,-117.234631
79,19:25:48,32.702970,-117.234631
80,19:25:48,32.702970,-117.234631
81,19:25:48,32.702970,-117.234631
82,19:25:48,32.702970,-117.234631
83,19:25:48,32.702970,-117.234631
84,19:25:48,32.702970,-117.234631
85,19:25:48,32.702970,-117.234631
86,19:25:48,32.702970,-117.234631
87,19:25:48,32.702970,-117.234631
88,19:25:48,32.702970,-117.234631
89,19:25:48,32.702970,-117.234631
90,19:25:48,32.702970,-117.234631
91,19:25:48,32.702970,-117.234631
92,19:25:48,32.702970,-117.234631
93,19:25:48,32.702970,-117.234631
94,19:25:48,32.702970,-117.234631
95,19:25:48,32.702970,-117.234631
96,19:25:48,32.702970,-117.234631
97,19:25:48,32.702970,-117.234631
98,19:25:48,32.702970,-117.234631
99,19:25:48,32.702970,-117.234631
100,19:25:48,32.702970,-117.234631
101,19:25:48,32.702970,-117.234631
102,19:25:48,32.702970,-117.234631
103,19:25:48,32.702970,-117.234631
